listing,vendor,original_category,type of product,drug detail,escrow,vendor rating,vendor membership,origin,destination,price_in_usd,quantity,description

World renowned and multi award winning!

*Strains will be given randomly at vendors discretion, though we do our best to give you a balanced variety of what we have in stock.

Please also send us your public PGP and email address for contact incase of market crash, exit scam, LE takeover or deal alerts.

« Please confirm the package –Delivered” as soon as it arrives. If you are happy with our products and service please leave us a 5 star rating. Do contact us FIRST to resolve any issues before leaving a review. Customer satisfaction is very important to us. Thank You!
"

75% THC | LEMON DIESEL Cannabis Vape Oil | 5ml,aKINDercare,concentrate,eliquid,cannabis,ESCROW,1, 2019-04-28,US,US,70,5ml,"STRAIN: TRAINWRECK [80% Sativa / 20% Indica] [Sativa Dominant Hybrid]

ATTRIBUTES: relaxed, happy, euphoric, creative, uplifted

MEDICAL BENEFITS: stress, depression, pain, sleep, loss of appetite

Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality Cannabis concentrate (shatter/wax) and our own custom blend of e-liquid.

Brewed on extremely low heat over the course of days and filtered over and over and over again, we challenge you to find a cleaner more effective cannabis cloud on the market as affordable as ours.

We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process.

Item is heat activated having been thoroughly decarboxylated (twice)

DISCLAIMER: No Vitamin E Oil (acetate) or similarly oil thickners are used in the production of our cannabis vaporizer juice.

Our cannabis vaporizer oils are intended for use with standard e-liquid vaporizer pens, tanks and devices.

For an optimum experience and flavor, oil is best heated using 4.2 volt(s) battery or device.

Package includes dropper top for easy transfer and refills of your 510 thread cartridges, tanks and pens.

STRAIN: LEMON DIESEL [Hybrid]

Bred from the Lost Coast OG and California Sour strains, as smelling fruity and sweet, with a hint of a skunk. The smell and flavor have been likened to citrus and pepper, with effects that can _—“sneak up_—ù on its consumer.

The Lost Coast OG in the genetics brings a euphoric spaciness that starts in the head and eventually provides a nice body buzz as well.

Overall, the Lemon Diesel strain is considered a fast-acting and full-bodied hybrid, making it ideal for patients suffering from chronic aches and pain, migraines, and inflammation.

Has previously finished top 10 in the Emerald Cup.

Thanks for looking, contact us with any questions.

Take care of each other,

KINDercare
"

75% THC | PLATINUM OG Cannabis Vape Oil | 5ml,aKINDercare,concentrate,eliquid,cannabis,ESCROW,1, 2019-04-28,US,US,70,5ml,"STRAIN: PLATINUM OG | [75% Indica / 25% Sativa] | [hybrid]

ATTRIBUTES: relaxed, sleepu, euphoric, happy, hungry

MEDICAL BENEFITS: Insomnia, Stress, Depression, Pain, Headaches

Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality Cannabis concentrate (shatter/wax) and our own custom blend of e-liquid.

Brewed on extremely low heat over the course of days and filtered over and over and over again, we challenge you to find a cleaner more effective cannabis cloud on the market as affordable as ours.

We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process.

Item is heat activated having been thoroughly decarboxylated (twice)

DISCLAIMER: No Vitamin E Oil (acetate) or similarly oil thickners are used in the production of our cannabis vaporizer juice.

Our cannabis vaporizer oils are intended for use with standard e-liquid vaporizer pens, tanks and devices.

For an optimum experience and flavor, oil is best heated using 4.2 volt(s) battery or device.

Package includes dropper top for easy transfer and refills of your 510 thread cartridges, tanks and pens.

PLATINUM OG

Platinum OGês effects tend to start out high, elevating and easing the mind, but they quickly turn low often having a sedative effect on users and should be used with caution. Because of this it makes great night time medication for depression, stress and anxiety. The narcotic-like body buzz may also treat chronic pain, muscle spasms and insomnia. It may also help alleviate migraines and the effects of other mood disorders.

The taste of this strain may have users thinking they just bit into a pine cone. It can be grown both inside and outdoors.

Thanks for looking, contact us with any questions.

Take care of each other,

KINDercare
"

Tier 3 - Mixed Strain - Rosin - RSO - FECO - Solventless,UKCannaisseurs ,concentrate,concentrate,cannabis,ESCROW BULK DISCOUNTS,1, 2019-05-23,UK,selected,25.91,.25g,"Finally, I have some stuff that is mixed strain and dark like RSO, but without the solvents.

Its from the third press on the bags in the press. This is still smoke/vapeable, but great as a full spectrum medicinal edible. Its basically solventless full spectrum RSO, FECO, etc. Its not decarboxalated though, so if you are planning on using it for edibles youêll need to decarb it first. basically just need to heat it for a bit in a oven or other heating element of your choice. Would be great baked into something, or maybe even made into a tincture.

40 a gram, 30 a half g, 20 a quarter g.

More than 2 or more grams, 35 a gram.
"

Flubromazolam Solution 10mL @ 1mg/mL,DrifterGrams,benzos,eliquid,benzos,ESCROW BULK DISCOUNTS,1, 2019-06-20,US,US,15,bottle,"This is not for vaping, although some say it is theoretically possible, it would be hugely wasteful. This is a proper solution intended to go directly into the mouth (hold under the tongue for awhile for fuller experience) and then followed with whatever culinary research method you prefer. The bioavailability of this method is in the high 90s percent making all other methods unnessary and wasteful at best but possibly dangerous considering the unkowns of bypassing the metabolic pathways it was designed for.
Intro

This is a listing for a 10mL Flubromazolam PG solution mixed at 1mg/mL. Flubromazolam is the strongest of the several fluorinated benzo analogues, with an equipotency to 1mg of alprazolam (xanax) being roughly 0.25:1. That means taking only 0.25mg of flubromazolam is as strong as a 1mg does of alprazolam, or 1mg of flubromazolam would be like taking 4mg of alprazolam. This along with clonazolam - which has a similar equipotency - are some of the strongest RC benzos available and need to be handled carefully.
Optional Paragraph

    That is why accurate dosing is so important. The best method for this is still volumetric dosing. This method when done properly allows the product to be evenly distributed in a solution which is then dosed by volume, based on the ratio of mass to volume. Itês hard to mess up volumetric dosing but it can be done if itês not understood why it works. Measuring smaller amounts yields higher error ranges and vice versa. Having a scale with a large acceptable error tolerance could also be problematic. Basically if youêre vendor canêt tell you what the error range per standard dose of their solution or canêt explain how they derived it, then they are winging it and potentially putting people at risk. Especially if dealing with substances that are pschoactive at the microgram level like flubromazolam. Our error range for any solution will never be greater than +/- 5% of the standard dose. And that will be improving. If you have questions about this please PM us and weêll be happy to talk with you about it.

Characteristics

A distinguishing factor about FLam is its extremely long half life, having a duration of up to 18 hours. Thatês one of the longest durations in the benzo family, giving it a subjectively different experience than that of etizolam, alprazolam, or clonazolam whose durations are shorter but more intense. It is said to be more sedative and hypnotic in effect rather than euphoric and disinhibiting which some of the others produce. The long half life does provide for a smoother landing however, with the caveat of longer amnesia if used irresposibly, which is highly undesirable. Accurate dosing is the absolute solution to to these potential pitfalls.
Logistics

These are going to be shipped in high quality, stealthed leak-proof bottles. It will come with a 1mL sealed syringe (no needle) with 100-unit gradations per mL syringe for highly accurate dosing. You can either squeeze the nozzle into the syringe mouth and pull back, or take the nozzle off completely and draw from the bottle. Either way the bottle stays leak proof. The labels are a little confusing but donêt worry there is nothing in it aside from the active ingredient and the solvent at a ratio of 1mg/mL.

With an equipotency ratio to alprozolam of 0.25:1 and solution of 1mg/mL, taking 0.25mL (25 units) of solution is equal to 1 mg alp (a football), 0.5mL gets you to 2mg alp (a bar), and the whole 1ml syringe would be equivalent to two bars.
Cautions and Further Reading

Do not try to vape or inject (do not IV) this solution - it is meant to be ingested how Lil Wayne takes lean or Birdman: in mouth or possibly plugged, but I am unfamiliar with the second option and got nothin but respek for Birdman so I suggest the oral route, holding it under the tongue for half a minute for faster sublingual absorbtion if so desired.

As always heed the warnings in the provided link, but especially so with flubromazolam and the other super strong benzo RCs, as their strength can be decieving. Your ability to assess your own intoxication becomes ineffective. Flam is an outstanding benzo but if youêre new to the scene or a habitual user of one of the other depressents listed at the top of the link below, I would highly advise you to start with something below the potency of alprazolam first.

https://psychonautwiki.org/wiki/Flubromazolam
"

Pre-Charged 85% THC CANNABIS-OIL-Vape - BRUCE BANNER #3,KannaMedsUk,concentrate,eliquid,cannabis,ESCROW,0.993, 2019-06-01,UK,selected,45.34,unit,"1 x Pre-Charged Vape-BRUCE BANNER#3 -FREE POST

NO NEED TO PRE CHARGE. NO NEED TO PRE HEAT. NO BUTTONS TO PRESS. SIMPLY START TO VAPE STRAIGHT AWAY

Get locked and loaded with the silver bullet! This smooth fast acting device is good for the beginner smoker all the way up to our beloved connoisseurs. Filled with the highest grade full spectrum distillate THC oil with the choice of added flavor or natural/original. This pen packs in the power with all the true flavoring people have been asking for. Designed for convenience and people on the •goê. A few deep vapes is all you need!

1 x Ready to use PRE CHARGED vape 0.5 ml (EACH) THC oil - Maximum strength

The finest, purest and strongest THC vape oil on the Market!

Pre - Filled Pre-charged (better vaping experience) 100% Organic NATURAL THC Higher THC level Smoother Experience No paranoia No alcohol, No solvents, No butane, No preservatives. No Nicotine. No Waxes. NO synthetics EXTRA REFINED DE-WAXED OILÄno more blocked coils!

FREE FAST FIRST CLASS POSTAGE ON ALL UK ORDERS (STANDARD POST)

PLEASE NOTE: For security purposes this item will be labeled CBD in shipping package. However, you will receive the product as described in the listing and full spectrum THC cannabis oil.

As you can see from the images the oil is a wonderful light golden color.

Available in a variety of flavors or natural unflavored. All flavors and original are the same in potency. No difference in strength. Flavors help to mask the smell of cannabis so you can use the product more discreetly.

=====flavors======= Banana / Blueberry / Pineapple / Strawberry (strongest/best masking of smell) / Grape / Original Unflavored (no masking.full natural taste)

PLEASE SPECIFY FLAVOR YOU WANT WHEN YOU SEND ADDRESS DETAILS. IF WE RECEIVE NO FLAVOR REQUEST WE WILL SEND YOU ORIGINAL.

READY TO GO VAPE . YOU DO NOT NEED TO PRE CHARGE, PRESS ANY BUTTONS, OR LOAD PRODUCT simply remove from tube packaging and start to vape. Once finished store back in tube packaging to protect the vape. You can use a little one day, store and return when you like. Vape is designed to be disposable . However should you wish to add charge this can be done via any android USB chargers. The vape can be charged via computer/laptop/USB plug/car USB port. CHARGER IS NOT SUPPLIED* many customers report to be successfully re used 5-10 times. The vape is of very good standard

WARNING: This is made for MAXIMUM STRENGTH! if you are not used to vaping or quality THC vape then please treat with respect and vape with caution until you are used to the product.

NO WASTE. NO LEAVES. WAXES OR IMPURITIES USED IN OUR CANNABIS OILS.

Super Safe and Discreet sealed Mylar bag packaging. Sealed and smell proof. Standard plain bubble envelope which fits through standard size letter box. Highly confidential and Discreet. No Sign required.
Manifesto | FAQ | Direct Deposi"

35 CARTS *NEW VENDOR PROMO* 1 Gram Kingpen Cartridge *Potent,KillerCali,concentrate,cartridge,cannabis,ESCROW,0.897, 2019-06-26,US,US,395,25 carts,"35 Assorted Kingpen

(If you desire specific flavors leave message in order details)

NEW VENDOR PROMOTIONAL OFFER! WONT LAST LONG! SPECIFY INDICA, SATIVA OR HYBRID IN ORDER.

THE WORLDêS MOST AWARDED CANNABIS VAPE KINGPEN OIL Kingpen oil is made in our own state-of-the-art manufacturing lab. It is distilled 5 times producing a high quality product that passes strict qualitative and quantitative tests. No PG, VG, PEG or other additives. Just the highest quality vape cartridges for the highest quality high. KINGPEN BATTERIES AND CARTRIDGES Our hardware maintains some of the lowest failure rates in the industry and our cartridges are engineered for smooth and consistent airflow. In addition, our pens have multiple voltage levels so you can control your heat settings (low, medium and hot) and feature a pre-heat mode that allows you to heat the oil before you hit. Kingpen comes in the following award-winning strains: SUPER LEMON HAZE Tart, sweet, with a hint of Lemonhead candy. A sativa strain bred from Lemon Skunk and Super Silver Haze. Delivering uplifting cerebral effects that are both lively and energetic. Not recommended for naturally –wound-up” people. JACK HERER Pine, earthy and wooÄ Read More State License

Adult-Use Mfg. CDHP-T00001050
"

1x Pure One Vape Pen Full Gram ?OFFICIAL?LEGIT?,kingkush,weed,vape pen,cannabis,ESCROW,0.993, 2019-04-24,US,worldwide,40,cart,"This listing is for 1x Pure One Full gram carts. Pure One is the best hitting cartridge available on the market today. Our proprietary triple distilled clear concentrate delivers the cleanest and highest potency oil that bursts with natural flavors. Combined with our next generation ceramic coil cartridge, Pure One produces 10 times more vapor than any standard cartridge on the market today. Available Flavors:

????????????: Critical Kush, Forbidden Fruit, Paris OG

????????????: Lemon Haze, Hawaiian Snow, Tangie,

????????????: Gelato #33, Pineapple Express, Wedding Cake

Please specify the flavors you would like when you place an order, otherwise we will ship you flavors of our choice.

IMPORTANT: Due to high demands, the flavors you requested may be out of stock. We will substitute same types (Indica, Sativa or Hybrid) if the flavors you requested are out of stock. Please use the following format when you provide us the shipping address."

DANK VAPES FULL GRAM CARTRIDGE // Starts at $17.20 // GREAT DEAL,FinestFlower ,concentrate,cartridge,cannabis,ESCROW BULK DISCOUNTS,0.98, 2019-07-25,US,US,17.2,1g,"CONTENTS:

Our Dank Vapes come in premium holographic packaging with C-Cell cartridges. C-Cell cartridges are extremely durable and can withstand everyday drops, getting stepped on, hits from a hammer, and abuse from the postal service. We aim to process and ship your order within 36 hours. All packages are vacuum sealed and include visual barriers with no extra charge. Our Dank vapes are sealed to ensure authenticity and no tampering.

Flavors

[INDICA] Mango Kush (92.59% THC) - Distinct mango taste with hints of pine on the exhale, an excellent choice for a good night of sleep.

[HYBRID] Sour Apple (92.33% THC) - This tastebud-tingling sour strain is indica dominant and will land you right on the couch.

[HYBRID] Lemon Berry (90.99% THC) - This sativa dominant hybrid with scents of berry and citrus is popular for inducing euphoria and non-stop laughs.

[HYBRID] Mimosa (94.29% THC) - A fruit punch & citrus flavored strain that will knock you right on your ass if you hold the button down on your battery too long.

    We would highly recommend Sour Apple, itês our favorite flavor.

Check out our other listings for popular cartridge brands and premium flower!

Contact me at:

Wickr - FinestFlowerr

Email - FinestFlower@protonmail.com

OR PM us
"

"Premium Carts, Dank Vapes, Kingspen, Exotic Carts, Mario(Escrow)",emeraldgemini,concentrate,multiple ,cannabis,FE Required,1, 2019-02-19,US,US,50,piece,"These are the descriptions from the brands of premium carts we offer. After purchase let us know your preference and we will do our best to get that specific cart to you. If you want only the cartridge you mention to us and nothing else or cancel, then please let us know. We do our best to keep all listed carts in stock, but sometimes run out of one or another.

Dank Vape cartridges are very nice to use and pack a hell of a punch. We have some great strains available including Lemon Slushie, Gelato, Cherry Kush, Lemon Head, & Grape Stomper. We will try to send whatever strain you request, however we will send what we have available if the strain requested is not. Each cartridge is prefilled with THC distillate with THC percentage levels in the 90s. They are a ceramic wick and glass mouthpiece. Works with almost any vape battery with a 510 thread.

These are very high quality carts with 1.0 ml of very nice strains which has great terpenes and pack a great buzz. They are prefilled with THC distillate. They come with a nice carry case as well to keep them from breaking in your pocket or bag. Strains available are Cali-O, King Loius OG, Jack Herer, Skywalker OG, & Trainwreck. We will try to send you whatever strain you request at checkout or we will send what we have available at the time. For bulk orders message us.

We are excited to now carry Exotic Carts and Mario Carts! 1ml each cartridge and they are ceramic wicks. We are offering these carts filled with some premium distillate. Unfortunately we cannot offer you an exact strain selection as we have to offer them in random. However if you would like to request a certain strain you can at checkout and we will do our best to get that strain to you.
"

***50 CARTS*** HEAVY HITTER FULL GRAM THC VAPE CARTS ***PROMO***,westcoastplug ,concentrate,cartridge,cannabis,ESCROW,0.925, 2019-08-21,US,US,595,50 carts,"Fifty Units Authentic HEAVY HITTER Brand. Full Gram Variety of Flavors.

PREMIUM THC DISTILLATE NO ADDITIVES, NO HONEY CUT, NO PESTICIDES.

Heavy Hitters is the Original SoCal vape that gives smokers the best-tasting and most enjoyable high. With their proprietary blend of terpenes and our proprietary cannabinoid profile, their carts boast True Ceramic heating elements with Cold-Filtered distillate for clean taste and potency. Heavy Hitters gives you the freedom to be an original every day.
"

*KingPens* $15 each for 40,NancyBotwin2019 ,concentrate,vape pen,not specified,ESCROW,0.982, 2019-08-08,US,US,600,10g,"Dear, If you have any questions, feel free to contact me on –Wickr: nancybotwin2019” thank you :))

PS: Send by random flavors

KingPen: Oil is made in our own state-of-the-art manufacturing lab. It is distilled 5 times producing a high quality product that passes strict qualitative and quantitative tests. No PG, VG, PEG or other additives. Just the highest quality vape cartridges for the highest quality high.
"

**100 CARTS** COOKIES FULL GRAM THC VAPE CARTS ***PROMO***,westcoastplug ,concentrate,cartridge,cannabis,ESCROW,0.925, 2019-08-21,US,US,1095,pack,"100 Units Authentic COOKIES SF Brand. Full Gram Variety of Flavors.

PREMIUM THC DISTILLATE NO ADDITIVES, NO HONEY CUT, NO PESTICIDES.

COOKIES SF are an industry leader in super premium extracted cannabis oil products. Real purity, real integrity, no nonsense.
"

"20 Dank vapes carts,Heavyhitters 1g,Mario carts for $300",Discreetshop ,concentrate,cartridge,cannabis,ESCROW BULK DISCOUNTS,0, 2019-10-13,US,worldwide,300,20 cart,"<<<<TRACKING INFO ARE PROVIDED>>>

wickr nameÄ.Xscripts

Top quality Dank vape pen we have –Grape Stomper,Grape Stomper,Gorilla Glue.Hardcore OG.Mars OG.Purple Punch.Sour Diesel.Pineapple Express. Grape Ape.. We do fast and secured delivery to all location, Overnight delivery withing USA, small quantity for sample and provide tracking number. Please download wickr app from you on your phone and massage us list Brass knuckles kingpen 1g kingpen 1/2g Dank vapes LAK carts Heavyhitters 1g Heavyhitters 2.2g Mario carts Supreme Carts Exotic carts Moonrocks Preroll. Packwood Preroll.. barewood preroll..

we offer fast and secured delivery to all location,Overnight delivery available for USA buyers. Tracking info provided
"

"1,500mg/10ml LEMONADE eLiquid - THC Vape Cart Refill",teamextract,concentrate,eliquid,cannabis,ESCROW BULK DISCOUNTS,1, 2019-04-27,europe,selected,82.55,10ml,"1 Piece = 1,500mg / 10ml Liquid Volume [Med-Low Strength]

A++ Indoor buds harvested recently. Extracted using the highest grade butane.

? Beautiful Yellow Ambar Color

? Lemon Gasoline Smell

? Lemony Citrus Flavors

? Strong Hypnotic Effect

? Glassy Shatter Consistency Resin

? Cali imported strain.

-> Which Strength Should I Get?

??? EXTRA STRONG: 1,000mg/3ml - Recommended for experienced smokers|vapers with a high tolerance and a good vapor device

?? REGULAR: 1,000mg/5ml - Regular strength for a •normalê effect, like when smoking a spliff

? LIGHT: 1,000mg/10ml - For those looking to be able to vape when at work, studying, being more productive & creative

NOTE: Delivered in our secure refill bottles to guarantee no leaks! Add to your eCig Chamber or Liquid Cartridge directly. We do not ship pre-filled carts due to the possibility of leakage during in transit.

===ãã INFORMATION ãã===

Blended with our own proprietary PEG (PEG is used widely in the food & drug industry) for a Cool, Smooth Vapor Experience where you taste the extract not the liquid (unless you fry it!) Vaping is all about low temperture.

Our packaging and eLiquid products are Super Stealth.

You can safely vape infront of the your local enforcement in most cases, if you really wish! This is what we take with us to the city when shopping.

? Want to add your own flavors? Add your favorite eJuice blends to your taste. * Our •E-liquid Xê will only mix with PEG400 Based liquids due to the concentration.

Suitable for almost all Vape Juice units with a Ceramic Coil. Cotton Coils work for a short time but clog up the cotton fast and waste your liquid. A Cotton-wick cartridge is another good option.

Best consumed using a unit with low power, or with a regular device with good digital temperature control. Our liquids only require a little heat to create thick vapor. If you do it wrong youêll learn quickly.

Message us with questions :)
"

KRT Yang Vape Cartrige 1.0 Gram Premium Distillate,TrueVape,concentrate,concentrate,cannabis,ESCROW BULK DISCOUNTS,0.99, 2019-06-30,US,US,40,unit,"FOR SALE:

-1.0 Gram KRT Yang solvent free distillate vape cartridge

-100% authentic thc distillate + terps for flavor. No pg,vg mct or cuts.

-Comes in high-end professional packaging with details, strain & product info.

-Strains

Cherry Pit

Sour Tangie

Dragon Berry

Pineapple Express

Kiwi Swirl

Banana OG

Gelato
"

1 Gram DMT Vape Cartridge,Houselannister2 ,DMT AMT,cartridge,psychedelic,ESCROW,1, 2019-07-29,US,US,90,cart,"1 gram of very potent DMT, in a convenient vape cartridge that fits any 510 battery (Battery not included)"

Rove Brand 0.5g Cartridge,outerviscera,weed,cartridge,cannabis,ESCROW,1, 2019-06-15,US,US,55,piece,"Rove Vape Cartridge 0.5g. One of the best carts on the market hands down. Please check out rovebrand.com for more info. Guaranteed genuine!

available: cookies, glue, waui, tangie, haze, shertbet
"

GummyBear AAA* THC VAPEJUICE- STRONG (0.25ML) *SAMPLE* NO CART,VapeShopMan,concentrate,eliquid,cannabis,ESCROW,0.968, 2019-04-28,UK,UK,1.29,1ml,"AMMO HAZEã-With earthy flavors of lemons and citrus, Amnesia Haze is a perfect strain to start your day with a smile. The uplifting, energetic buzz is one you wonêt soon forget. Its genetics have been traced back to the South Asian and Jamaican landrace strains, and this Cannabis Cup winner (1st place 2004, 1st place Sativa Cup 2012) has since been popularized in the coffee shops of Amsterdam. THIS DOES COME WITH A CART, 0.25ML OF OUR DELICIOUS OIL BUT NO CART. THIS IS A SAMPLE PRODUCT AND CAN ONLY BE HAVE ONE ORDER PER DESTINATION"

Premium Vape Pen Filled With THC Distillate Juice,emeraldgemini,concentrate,eliquid,cannabis,FE Required,1, 2019-02-19,US,US,55,unit,"This listing is for a prefilled vape pen with a premium cartridge such as Dank Vapes, Kingspen, Exotic Carts, & Mario Carts. These cartridges are prefilled with THC distillate juice in a variety of flavors. The 510 thread battery is a rechargeable, multi temperature type with a preheat option. You can refill this cartridge after it is empty and you can reuse the battery as well. This is virtually the best way to vape THC and is very discreet. With THC percentage levels in the 90ês you can be assured a quick buzz and an ultra low smell. We will randomly choose the cartridge and strain for you, but if you want a certain type from our store just let us know and we will do our best to get that one to you."

1 GRAM VENOM Vape Carts Gorilla Glue #4 82%THC,9rin9o ,concentrate,cartridge,cannabis,ESCROW,1, 2019-07-21,US,US,29,cart,"HIGH POTENCY THC EXTRACT. PHARMACY-GRADE QUALITY. NO FAKES HERE.

Please take a look at the last cart you will ever want. This here is HONEST lab-tested 82% THC. We do not make false claims about potency - you gonna feel every bit of our 82% THC right from the first hit. Metal and glass cartridge with ceramic tip and heating coil. 4 volt max, standard 510 thread. Organically grown in California.

Premium packging, perfect stealth and prompt free priority shipping is what you get with every order along with fast and consistent communication. Apologies, but as of right now there is no international shipping. Need bulk? - Hit me up. Each cart comes in a display-ready packaging, ready for retail sale.

At this moment only GorillaGlue#4 strain is available, but more will come soon. Loyal customer discounts are in the works as well.

More info on our distillate is in the Profile. Our reviews on Tochka: /store/9rin9o/reviews

BUYER BEWARE!! PLEASE EDUCATE YOURSELF BEFORE YOU BUY!

Most of the brand-name carts you see on DNMs are FAKE. This includes STIIIZY, BRASS KNUCKLES, DANK VAPES, MARIO CARTS, SUPREME, KING PEN, HEAVY HITTERS, SPACE VAPE, TKO, COOKIES. When you smoke FAKES you inhale pesticides, low-grade cutting agents, possibly toxic metals (especially from low-grade metal heating coil) and the oil is always lower potency than advertised. AVOID FAKE GARBAGE. As a bare minimum ALWAYS DO THE BUBBLE TEST AT ROOM TEMPERATURE! More on that here (clearnet link!): https://internationalhighlife.com/counterfeit-vape-cartridges/ I encourage you to search the web for –fake oil cartridges” and read more about the dangers of smoking low-grade shit.

98% THC SOLD ON DNMs IS A SCAM. The production cost of 98% THC oil makes it worth more than its weight in gold and requires proprietary technology, here is an article about that (clearnet link!): vice.com/en_us/article/mg7xmp/weed-oil-lab
"

GummyBear AAA* THC VAPEJUICE- STRONG(1ml) WITH CART,VapeShopMan,concentrate,cartridge,cannabis,ESCROW,0.968, 2019-04-28,UK,UK,38.21,ml,"AMMO HAZEã-With earthy flavors of lemons and citrus, Amnesia Haze is a perfect strain to start your day with a smile. The uplifting, energetic buzz is one you wonêt soon forget. Its genetics have been traced back to the South Asian and Jamaican landrace strains, and this Cannabis Cup winner (1st place 2004, 1st place Sativa Cup 2012) has since been popularized in the coffee shops of Amsterdam. THIS DOES COME WITH A CART, 1ML OF OUR DELICIOUS OIL"

*NEW VENDOR PROMO* 1 Gram Kingpen Cartridge REAL!,KillerCali,concentrate,vape pen,cannabis,ESCROW BULK DISCOUNTS,0.897, 2019-06-26,US,US,34,cart,"NEW VENDOR PROMOTIONAL OFFER! WONT LAST LONG! SPECIFY INDICA, SATIVA OR HYBRID IN ORDER.

STRAIN VERY FROM TIME TO TIME BUT USUALLY HAVE SOME INDICA, HYBRID AND SOME SATIVA

THE WORLDêS MOST AWARDED CANNABIS VAPE KINGPEN OIL Kingpen oil is made in our own state-of-the-art manufacturing lab. It is distilled 5 times producing a high quality product that passes strict qualitative and quantitative tests. No PG, VG, PEG or other additives. Just the highest quality vape cartridges for the highest quality high.
"

*PROMO* WEST COAST CURE CUREPEN 1 GRAM THC VAPE CARTS,westcoastplug,concentrate,cartridge,cannabis,ESCROW BULK DISCOUNTS,0.925, 2019-08-21,US,US,24,cart,"HIGHEST QUALITY FULL GRAM FROM WEST COAST CURE. BEST CARTS ON THE WEST COAST!

NICE THICK FLUID SLOW BUBBLE!

PREMIUM THC DISTILLATE NO ADDITIVES, NO HONEY CUT, NO PESTICIDES.

Please Specify Indica, Sativa or Hybrid. (if nothing specified I will choose)
"

Dank Vapes Carts 1.1G Vape Cartridges [On SALE As LOW As $14],GreenCurrency,concentrate,cartridge,cannabis,ESCROW,0.79, 2019-08-03,US,US,11,1.1g,"Dank Vapes Carts 1.1G Vape Cartridges [On SALE As LOW As $14]

?HIGH QUALITY BEST SELLER CANNABIS WAX CARTRIDGES?

?SAME PRODUCT FOR A GREAT LOW PRICE?

?DONêT MAKE THE MISTAKE OF BUYING THE SAME PRODUCT FOR MORE?

?STRAINS?

Key Lime Pie

Rose Gold

Strawberry Shortcake

White Widow

Cherry Kush

Greek Crack

Apple Jacks

Cotton Candy

White Rhino

Sour Apple

Shark Shock

Maui Wowie

Northern Lights

Lemon Berry

Mango Kush

Purple Punch

Grand Daddy Purple

Blue Dream

Cherry Pie

La Confidential

Mimosa
"

75% THC | DURBAN POISON Cannabis Vape Oil | 10ml,aKINDercare,concentrate,eliquid,cannabis,ESCROW,1, 2019-04-28,US,US,120,10ml,"STRAIN: DURBAN POISON | [90% Sativa / 10% Indica] | [Sativa]**

ATTRIBUTES: energetic, uplifted, happy

MEDICAL BENEFITS: stress, depression, anxiety

Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality Cannabis concentrate (shatter/wax) and our own custom blend of e-liquid.

Brewed on extremely low heat over the course of days and filtered over and over and over again, we challenge you to find a cleaner more effective cannabis cloud on the market as affordable as ours.

We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process.

Item is heat activated having been thoroughly decarboxylated (twice)

DISCLAIMER: No Vitamin E Oil (acetate) or similarly oil thickners are used in the production of our cannabis vaporizer juice.

Our cannabis vaporizer oils are intended for use with standard e-liquid vaporizer pens, tanks and devices.

For an optimum experience and flavor, oil is best heated using 4.2 volt(s) battery or device.

Package includes dropper top for easy transfer and refills of your 510 thread cartridges, tanks and pens.

ããããããããã_

DURBAN POISON This pure sativa originates from the South African port city of Durban. It has gained popularity worldwide for its sweet smell and energetic, uplifting effects. Durban Poison is the perfect strain to help you stay productive through a busy day, when exploring the outdoors, or to lend a spark of creativity.

ããããããããã_

Thanks for looking, contact us with any questions.

Take care of each other,

KINDercare
"

10 x ** BRAND NEW ** 1g Brass Knuckles THC Vape Carts,THETHCDOCTOR,concentrate,cartridge,cannabis,ESCROW,1, 2019-06-16,UK,worldwide,414.53,unit,"10 x BRAND NEW 1g Brass Knuckles THC Vape Carts

BRAND NEW

Here at THC HQ we have just taken stock of these brand new full 1g Brass Knuckles Carts, exactly the same flavours and high end carts as the regular 0.5g Brass carts, but now in the full 1g size. We have had many requests for these and are now pleased to introduce these to the Docês surgery!

We source our RAW product from a licensed lab in California, who work closely with independent, artisan growers. We add NO MCT oil or pesticides or any other substances to our THC apart from 12% plant derived organic terpenes (which we also sell on the site). This is a natural plant based substance that will give each THC cart its flavor and smell

So that is a 88% THC to 12% Organic Terpense mix, that is it!! Our carts are 100% SAFE!

We offer our Brass Knuckles carts in: Skywalker og (indica), Gg4 (hybrid), Strawberry Cough (indica), Forbidden fruits (hybrid), Gushers (hybrid), Jack Herer (sativa), Napalm (indica), Sour diesel (sativa), Blue dream (sativa), Do so dos (indica), Blueberry (indica), Tahoe OG (indica), Tangie (sativa)

